Fecha,Gasolina regular,Gasolina superior,Diesel,Gas licuado de petróleo
2000-01-01,202645.2,308156.82,634667.06,194410.47619047613
2000-02-01,205530.96,307766.31,642380.66,174710.55238095237
2000-03-01,229499.56,331910.29,699807.25,189234.06666666668
2000-04-01,210680.4,315648.08,586803.98,174330.60714285713
2000-05-01,208164.34,319667.97,656948.2,191745.14761904764
2000-06-01,195088.74,300347.7,570919.88,196321.9333333333
2000-07-01,204556.77,308305.93,576436.02,192344.5023809524
2000-08-01,218388.51,323011.86,593770.77,203727.08095238093
2000-09-01,213906.96,326455.72,590145.4,194565.0976190476
2000-10-01,213606.65,323843.63,641113.36,210261.82619047625
2000-11-01,209227.48,320788.08,657086.3,205027.95261904763
2000-12-01,230020.7,366987.56,673282.26,200247.555
2001-01-01,164547.3516666666,300242.7816666665,569328.7870238096,179405.99027777778
2001-02-01,174838.8116666666,301483.401666666,597749.8317857146,167818.1378968254
2001-03-01,201992.6516666666,355572.831666666,736085.9732142859,186397.3259920635
2001-04-01,198683.3916666666,355826.761666666,606257.6589285719,175820.34503968255
2001-05-01,182504.09166666665,336040.041666666,664082.6575,178303.33075396824
2001-06-01,201379.4816666666,308804.7016666665,559333.0336904764,177826.92837301586
2001-07-01,214980.2416666666,350501.971666667,589452.7346428575,191041.99027777772
2001-08-01,204646.771666667,348414.6516666665,568546.3746428574,190295.99027777772
2001-09-01,188292.3516666666,324393.9616666665,533108.3946428574,184039.99027777772
2001-10-01,225240.9516666666,366261.631666666,603371.1846428574,206176.99027777772
2001-11-01,210324.9516666666,351890.631666666,626156.1846428574,201335.99027777772
2001-12-01,223209.9516666666,403561.631666666,664190.1846428574,209792.99027777772
2002-01-01,200309.85166666663,368935.52583333326,726672.5991666663,196068.6087301588
2002-02-01,183119.34166666665,348917.78583333327,694344.7791666662,180209.8015873016
2002-03-01,212711.71166666664,385044.96583333326,656379.2891666662,186680.96587301587
2002-04-01,204765.62166666664,379741.9758333333,683646.1691666662,196167.1611111111
2002-05-01,201083.51166666663,375054.6358333333,707165.4691666663,201612.35634920635
2002-06-01,187629.42166666663,371138.58583333326,667820.7091666663,193024.3992063492
